NAME                                  IMAGE                                                  COMMAND                  SERVICE           CREATED          STATUS                    PORTS
ecommerce-backend-api-gateway-1       ecommerce-backend-api-gateway                          "java -jar app.jar"      api-gateway       10 minutes ago   Up 10 minutes             0.0.0.0:8080->8080/tcp, [::]:8080->8080/tcp
ecommerce-backend-auth-service-1      ecommerce-backend-auth-service                         "java -jar app.jar"      auth-service      10 minutes ago   Up 10 minutes             8080/tcp
ecommerce-backend-config-server-1     ecommerce-backend-config-server                        "java -jar app.jar"      config-server     10 minutes ago   Up 10 minutes (healthy)   0.0.0.0:8888->8888/tcp, [::]:8888->8888/tcp
ecommerce-backend-elasticsearch-1     docker.elastic.co/elasticsearch/elasticsearch:8.13.4   "/bin/tini -- /usr/l…"   elasticsearch     10 minutes ago   Up 10 minutes (healthy)   0.0.0.0:9200->9200/tcp, [::]:9200->9200/tcp, 9300/tcp
ecommerce-backend-eureka-server-1     ecommerce-backend-eureka-server                        "java -jar app.jar"      eureka-server     10 minutes ago   Up 10 minutes (healthy)   0.0.0.0:8761->8761/tcp, [::]:8761->8761/tcp
ecommerce-backend-frontend-1          ecommerce-backend-frontend                             "/docker-entrypoint.…"   frontend          10 minutes ago   Up 10 minutes             0.0.0.0:3001->80/tcp, [::]:3001->80/tcp
ecommerce-backend-grafana-1           grafana/grafana:10.4.0                                 "/run.sh"                grafana           10 minutes ago   Up 9 minutes              0.0.0.0:3000->3000/tcp, [::]:3000->3000/tcp
ecommerce-backend-kafka-1             apache/kafka:3.7.0                                     "/__cacert_entrypoin…"   kafka             10 minutes ago   Up 10 minutes (healthy)   9092/tcp, 0.0.0.0:29092->29092/tcp, [::]:29092->29092/tcp
ecommerce-backend-order-service-1     ecommerce-backend-order-service                        "java -jar app.jar"      order-service     10 minutes ago   Up 10 minutes             8080/tcp
ecommerce-backend-payment-service-1   ecommerce-backend-payment-service                      "java -jar app.jar"      payment-service   10 minutes ago   Up 10 minutes             8080/tcp
ecommerce-backend-postgres-1          postgres:15                                            "docker-entrypoint.s…"   postgres          10 minutes ago   Up 10 minutes (healthy)   0.0.0.0:5432->5432/tcp, [::]:5432->5432/tcp
ecommerce-backend-product-service-1   ecommerce-backend-product-service                      "java -jar app.jar"      product-service   10 minutes ago   Up 10 minutes             8080/tcp
ecommerce-backend-prometheus-1        prom/prometheus:v2.51.0                                "/bin/prometheus --c…"   prometheus        10 minutes ago   Up 10 minutes             0.0.0.0:9090->9090/tcp, [::]:9090->9090/tcp
ecommerce-backend-redis-1             redis:7                                                "docker-entrypoint.s…"   redis             10 minutes ago   Up 10 minutes (healthy)   0.0.0.0:6379->6379/tcp, [::]:6379->6379/tcp
ecommerce-backend-review-service-1    ecommerce-backend-review-service                       "java -jar app.jar"      review-service    10 minutes ago   Up 10 minutes             8080/tcp
ecommerce-backend-user-service-1      ecommerce-backend-user-service                         "java -jar app.jar"      user-service      10 minutes ago   Up 10 minutes             8080/tcp
ecommerce-backend-zipkin-1            openzipkin/zipkin:3                                    "start-zipkin"           zipkin            10 minutes ago   Up 10 minutes (healthy)   9410/tcp, 0.0.0.0:9411->9411/tcp, [::]:9411->9411/tcp
